Location,Longitude,Latitude,OrderValue,NearestHub,Distance(meters),Route,Time
Sector 35 Market - Point 11,76.7708247932758,30.7233043872084,1712.52,A,2434.3590369323947,"(30.7233953,76.7709571);(30.7212233,76.7728526);(30.721118,76.7732178);(30.7210686,76.7741876);(30.7237914,76.7785267);(30.7238357,76.7786001);(30.7239659,76.7788038);(30.7241744,76.7791302);(30.7242614,76.7792812);(30.7243054,76.7793517);(30.724419,76.7795187);(30.7272292,76.7840489);(30.7275971,76.7844887);(30.7278147,76.7845296);(30.7279518,76.7847428);(30.7279152,76.7850141);(30.7277828,76.785152);(30.7275399,76.7851475);(30.7272863,76.7852337);(30.7246502,76.7876609);(30.7255017,76.7883608);(30.7251674,76.7886398);(30.724728,76.7879258)",17:04
Sector 17 Plaza - Point 12,76.7849792406101,30.7415736240925,519.14,B,2572.3272798320213,"(30.7410005,76.7846764);(30.7398684,76.7847422);(30.7395805,76.784268);(30.7426614,76.781706);(30.741578,76.7799727);(30.7415256,76.7798889);(30.7416184,76.779811);(30.7418686,76.779601);(30.7423763,76.7791748);(30.7400941,76.7752457);(30.7400468,76.7751665);(30.7398045,76.7747904);(30.7394825,76.7746678);(30.7393293,76.7743536);(30.7393684,76.7739751);(30.7398094,76.7737014);(30.7400258,76.7737737);(30.7405715,76.773525);(30.7430898,76.7714273);(30.743113,76.7713585);(30.7432015,76.7713177);(30.7432294,76.7713264);(30.7455151,76.7693499);(30.7455537,76.7691112);(30.7457159,76.7689604);(30.7459919,76.7690143);(30.7460999,76.7692041);(30.746064,76.7694752)",06:08
Sector 7 Market - Point 13,76.795463682588,30.7432259179122,1590.26,A,3123.7903539149406,"(30.7431674,76.7955976);(30.7428333,76.7958999);(30.7429947,76.7961609);(30.7423691,76.7966793);(30.7417368,76.7972034);(30.7415075,76.7973934);(30.7412689,76.7975912);(30.7406395,76.7966015);(30.7402616,76.796918);(30.7395274,76.7975328);(30.7383543,76.7985151);(30.7381039,76.798718);(30.7369728,76.7996718);(30.7368991,76.7997318);(30.7350604,76.7967866);(30.7347847,76.7964454);(30.7345291,76.7963913);(30.7344293,76.7962312);(30.7344486,76.7959303);(30.7342308,76.7954301);(30.731256,76.7907202);(30.7308813,76.7907908);(30.7306657,76.7909661);(30.729744,76.791745);(30.7294529,76.7919733);(30.7293629,76.7920905);(30.7292581,76.7920765);(30.7292095,76.7920186);(30.7292436,76.7918248);(30.728979,76.7914441);(30.7287338,76.7905674);(30.7282039,76.7896052);(30.7276249,76.7886857);(30.727368,76.7882711);(30.7264119,76.7887515);(30.7260149,76.7890828);(30.7256668,76.788546);(30.7255017,76.7883608);(30.7251674,76.7886398);(30.724728,76.7879258)",16:05
Sukhna Lake - Point 14,76.8226190437037,30.7432498969167,1007.29,A,5688.82310593589,"(30.7460301,76.8220925);(30.7476807,76.8217438);(30.7484691,76.819936);(30.7490446,76.814213);(30.7489473,76.8123292);(30.74868,76.8112063);(30.7471981,76.8078653);(30.7465435,76.8068025);(30.7457401,76.8059161);(30.7450684,76.8051674);(30.7446359,76.8045046);(30.7447476,76.8044114);(30.7443813,76.8038183);(30.7427272,76.8051452);(30.7421404,76.8042185);(30.7419256,76.8038793);(30.7418104,76.8036973);(30.7415867,76.8033439);(30.7415257,76.8032477);(30.7414071,76.8030604);(30.7411957,76.8027265);(30.7411276,76.8026189);(30.7398281,76.802985);(30.7393211,76.8034113);(30.7392395,76.8034805);(30.7371536,76.8001394);(30.7371096,76.8000689);(30.7368991,76.7997318);(30.7350604,76.7967866);(30.7347847,76.7964454);(30.7345291,76.7963913);(30.7344293,76.7962312);(30.7344486,76.7959303);(30.7342308,76.7954301);(30.731256,76.7907202);(30.7308813,76.7907908);(30.7306657,76.7909661);(30.729744,76.791745);(30.7294529,76.7919733);(30.7293629,76.7920905);(30.7292581,76.7920765);(30.7292095,76.7920186);(30.7292436,76.7918248);(30.728979,76.7914441);(30.7287338,76.7905674);(30.7282039,76.7896052);(30.7276249,76.7886857);(30.727368,76.7882711);(30.7264119,76.7887515);(30.7260149,76.7890828);(30.7256668,76.788546);(30.7255017,76.7883608);(30.7251674,76.7886398);(30.724728,76.7879258)",07:32
Rose Garden - Point 15,76.7924979875652,30.756735394365,1088.09,B,3041.5993263901864,"(30.7573813,76.7924476);(30.7566837,76.7913444);(30.7565235,76.791521);(30.7559902,76.791021);(30.7577684,76.7895217);(30.7571978,76.7886078);(30.7563562,76.7872599);(30.7564944,76.7871483);(30.7565588,76.7870412);(30.756621,76.786517);(30.7563611,76.786104);(30.7563187,76.7860363);(30.7532533,76.7811236);(30.7530485,76.7808556);(30.7527605,76.7808144);(30.7526535,76.7806456);(30.7526802,76.7803535);(30.7525147,76.7799664);(30.749624,76.7753976);(30.7495713,76.7753161);(30.7490066,76.7743754);(30.7489297,76.7742528);(30.7458903,76.7696263);(30.7456649,76.7695953);(30.7455151,76.7693499);(30.7455537,76.7691112);(30.7457159,76.7689604);(30.7459919,76.7690143);(30.7460999,76.7692041);(30.746064,76.7694752)",08:34
Rock Garden - Point 16,76.813358036216,30.7512598474261,1965.42,A,4666.859392085434,"(30.7505632,76.8131876);(30.7499339,76.8127638);(30.7489473,76.8123292);(30.74868,76.8112063);(30.7471981,76.8078653);(30.7465435,76.8068025);(30.7457401,76.8059161);(30.7450684,76.8051674);(30.7446359,76.8045046);(30.7447476,76.8044114);(30.7443813,76.8038183);(30.7427272,76.8051452);(30.7421404,76.8042185);(30.7419256,76.8038793);(30.7418104,76.8036973);(30.7415867,76.8033439);(30.7415257,76.8032477);(30.7414071,76.8030604);(30.7411957,76.8027265);(30.7411276,76.8026189);(30.7398281,76.802985);(30.7393211,76.8034113);(30.7392395,76.8034805);(30.7371536,76.8001394);(30.7371096,76.8000689);(30.7368991,76.7997318);(30.7350604,76.7967866);(30.7347847,76.7964454);(30.7345291,76.7963913);(30.7344293,76.7962312);(30.7344486,76.7959303);(30.7342308,76.7954301);(30.731256,76.7907202);(30.7308813,76.7907908);(30.7306657,76.7909661);(30.729744,76.791745);(30.7294529,76.7919733);(30.7293629,76.7920905);(30.7292581,76.7920765);(30.7292095,76.7920186);(30.7292436,76.7918248);(30.728979,76.7914441);(30.7287338,76.7905674);(30.7282039,76.7896052);(30.7276249,76.7886857);(30.727368,76.7882711);(30.7264119,76.7887515);(30.7260149,76.7890828);(30.7256668,76.788546);(30.7255017,76.7883608);(30.7251674,76.7886398);(30.724728,76.7879258)",16:19
Sector 35 Market - Point 17,76.7709502181327,30.7187738292444,1040.19,D,3077.2661722774856,"(30.7185953,76.7706458);(30.7183798,76.7708294);(30.7181203,76.7710505);(30.7175966,76.7714968);(30.7175645,76.771446);(30.7172088,76.770882);(30.716985,76.7705272);(30.7166226,76.7699524);(30.7164051,76.7696077);(30.7157705,76.7701325);(30.7155526,76.769773);(30.7152556,76.769283);(30.7149634,76.7687518);(30.7147108,76.7683256);(30.7143618,76.7677575);(30.7129085,76.766422);(30.7124099,76.7668359);(30.7118883,76.7672595);(30.7110499,76.7659364);(30.710752,76.7654661);(30.7104128,76.7649307);(30.7103659,76.764852);(30.7101626,76.7645105);(30.71,76.7642374);(30.7098035,76.7642271);(30.7096423,76.7642291);(30.7090716,76.7642204);(30.708476,76.764215);(30.7084485,76.7641402);(30.7077738,76.7641186);(30.7072594,76.7641164);(30.7061365,76.7640863);(30.7059592,76.7640884);(30.7052394,76.7628973);(30.7047744,76.7620674);(30.7047792,76.7617334);(30.7047892,76.7610332);(30.7047991,76.760333);(30.7048039,76.7599992);(30.7045412,76.7599915);(30.7041693,76.7603105);(30.7036442,76.7607395);(30.7035655,76.760805);(30.7026245,76.7592896);(30.7009333,76.756566);(30.7006339,76.7560853);(30.7005946,76.7560853);(30.7005443,76.7559632)",20:08
Sector 7 Market - Point 18,76.7973822550048,30.7412922275426,844.53,A,2810.3924437842284,"(30.7412689,76.7975912);(30.7406395,76.7966015);(30.7402616,76.796918);(30.7395274,76.7975328);(30.7383543,76.7985151);(30.7381039,76.798718);(30.7369728,76.7996718);(30.7368991,76.7997318);(30.7350604,76.7967866);(30.7347847,76.7964454);(30.7345291,76.7963913);(30.7344293,76.7962312);(30.7344486,76.7959303);(30.7342308,76.7954301);(30.731256,76.7907202);(30.7308813,76.7907908);(30.7306657,76.7909661);(30.729744,76.791745);(30.7294529,76.7919733);(30.7293629,76.7920905);(30.7292581,76.7920765);(30.7292095,76.7920186);(30.7292436,76.7918248);(30.728979,76.7914441);(30.7287338,76.7905674);(30.7282039,76.7896052);(30.7276249,76.7886857);(30.727368,76.7882711);(30.7264119,76.7887515);(30.7260149,76.7890828);(30.7256668,76.788546);(30.7255017,76.7883608);(30.7251674,76.7886398);(30.724728,76.7879258)",14:01
Rock Garden - Point 19,76.8125804424147,30.7572274193723,206.2,A,5736.385636811197,"(30.7572163,76.8135288);(30.7555611,76.8133747);(30.755557,76.8128886);(30.7547581,76.8135871);(30.7540058,76.8142243);(30.7530061,76.8150252);(30.7487408,76.8065702);(30.7471981,76.8078653);(30.7465435,76.8068025);(30.7457401,76.8059161);(30.7450684,76.8051674);(30.7446359,76.8045046);(30.7447476,76.8044114);(30.7443813,76.8038183);(30.7427272,76.8051452);(30.7421404,76.8042185);(30.7419256,76.8038793);(30.7418104,76.8036973);(30.7415867,76.8033439);(30.7415257,76.8032477);(30.7414071,76.8030604);(30.7411957,76.8027265);(30.7411276,76.8026189);(30.7398281,76.802985);(30.7393211,76.8034113);(30.7392395,76.8034805);(30.7371536,76.8001394);(30.7371096,76.8000689);(30.7368991,76.7997318);(30.7350604,76.7967866);(30.7347847,76.7964454);(30.7345291,76.7963913);(30.7344293,76.7962312);(30.7344486,76.7959303);(30.7342308,76.7954301);(30.731256,76.7907202);(30.7308813,76.7907908);(30.7306657,76.7909661);(30.729744,76.791745);(30.7294529,76.7919733);(30.7293629,76.7920905);(30.7292581,76.7920765);(30.7292095,76.7920186);(30.7292436,76.7918248);(30.728979,76.7914441);(30.7287338,76.7905674);(30.7282039,76.7896052);(30.7276249,76.7886857);(30.727368,76.7882711);(30.7264119,76.7887515);(30.7260149,76.7890828);(30.7256668,76.788546);(30.7255017,76.7883608);(30.7251674,76.7886398);(30.724728,76.7879258)",10:59
Sector 17 Plaza - Point 20,76.7849775589104,30.7370892290493,1266.35,A,2095.301123729709,"(30.7370189,76.7844768);(30.7366553,76.7847892);(30.7371233,76.7855332);(30.7371521,76.7855813);(30.7370807,76.7856413);(30.7368462,76.7858129);(30.7362614,76.7862811);(30.7358274,76.7865095);(30.7357814,76.7865652);(30.7356459,76.7865733);(30.7355819,76.7864971);(30.7352258,76.7865839);(30.7339863,76.7877594);(30.7339167,76.7878166);(30.7328129,76.7888977);(30.7327106,76.7889227);(30.7324851,76.7889825);(30.7322763,76.7891054);(30.7315301,76.7896576);(30.731093,76.7903016);(30.7310682,76.7904444);(30.7308813,76.7907908);(30.7306657,76.7909661);(30.729744,76.791745);(30.7294529,76.7919733);(30.7293629,76.7920905);(30.7292581,76.7920765);(30.7292095,76.7920186);(30.7292436,76.7918248);(30.728979,76.7914441);(30.7287338,76.7905674);(30.7282039,76.7896052);(30.7276249,76.7886857);(30.727368,76.7882711);(30.7264119,76.7887515);(30.7260149,76.7890828);(30.7256668,76.788546);(30.7255017,76.7883608);(30.7251674,76.7886398);(30.724728,76.7879258)",13:25
Rock Garden - Point 21,76.8090847680613,30.7486785313343,112.14,A,3936.3862991203614,"(30.7471981,76.8078653);(30.7465435,76.8068025);(30.7457401,76.8059161);(30.7450684,76.8051674);(30.7446359,76.8045046);(30.7447476,76.8044114);(30.7443813,76.8038183);(30.7427272,76.8051452);(30.7421404,76.8042185);(30.7419256,76.8038793);(30.7418104,76.8036973);(30.7415867,76.8033439);(30.7415257,76.8032477);(30.7414071,76.8030604);(30.7411957,76.8027265);(30.7411276,76.8026189);(30.7398281,76.802985);(30.7393211,76.8034113);(30.7392395,76.8034805);(30.7371536,76.8001394);(30.7371096,76.8000689);(30.7368991,76.7997318);(30.7350604,76.7967866);(30.7347847,76.7964454);(30.7345291,76.7963913);(30.7344293,76.7962312);(30.7344486,76.7959303);(30.7342308,76.7954301);(30.731256,76.7907202);(30.7308813,76.7907908);(30.7306657,76.7909661);(30.729744,76.791745);(30.7294529,76.7919733);(30.7293629,76.7920905);(30.7292581,76.7920765);(30.7292095,76.7920186);(30.7292436,76.7918248);(30.728979,76.7914441);(30.7287338,76.7905674);(30.7282039,76.7896052);(30.7276249,76.7886857);(30.727368,76.7882711);(30.7264119,76.7887515);(30.7260149,76.7890828);(30.7256668,76.788546);(30.7255017,76.7883608);(30.7251674,76.7886398);(30.724728,76.7879258)",18:54
Punjab University - Point 22,76.7663869271138,30.757876879399,704.6,B,1412.0839091628154,"(30.7551745,76.7697422);(30.7552212,76.7698171);(30.7551472,76.7698787);(30.7551003,76.7698037);(30.7521436,76.7650668);(30.7514503,76.7649657);(30.74901,76.7668637);(30.7470416,76.7684186);(30.7460999,76.7692041);(30.746064,76.7694752)",11:47
Sector 22 Market - Point 23,76.7874621368447,30.7399739327448,367.59,A,2674.8215328227466,"(30.74026,76.7883321);(30.740311,76.7884139);(30.7402046,76.7884801);(30.7401546,76.7884021);(30.7388657,76.7863308);(30.7382631,76.7853635);(30.7376696,76.7844065);(30.7371423,76.7843708);(30.7370189,76.7844768);(30.7366553,76.7847892);(30.7371233,76.7855332);(30.7371521,76.7855813);(30.7370807,76.7856413);(30.7368462,76.7858129);(30.7362614,76.7862811);(30.7358274,76.7865095);(30.7357814,76.7865652);(30.7356459,76.7865733);(30.7355819,76.7864971);(30.7352258,76.7865839);(30.7339863,76.7877594);(30.7339167,76.7878166);(30.7328129,76.7888977);(30.7327106,76.7889227);(30.7324851,76.7889825);(30.7322763,76.7891054);(30.7315301,76.7896576);(30.731093,76.7903016);(30.7310682,76.7904444);(30.7308813,76.7907908);(30.7306657,76.7909661);(30.729744,76.791745);(30.7294529,76.7919733);(30.7293629,76.7920905);(30.7292581,76.7920765);(30.7292095,76.7920186);(30.7292436,76.7918248);(30.728979,76.7914441);(30.7287338,76.7905674);(30.7282039,76.7896052);(30.7276249,76.7886857);(30.727368,76.7882711);(30.7264119,76.7887515);(30.7260149,76.7890828);(30.7256668,76.788546);(30.7255017,76.7883608);(30.7251674,76.7886398);(30.724728,76.7879258)",00:37
Punjab University - Point 24,76.7700118248193,30.7563375809768,1316.73,B,1403.2413611521902,"(30.7552212,76.7698171);(30.7551472,76.7698787);(30.7551003,76.7698037);(30.7521436,76.7650668);(30.7514503,76.7649657);(30.74901,76.7668637);(30.7470416,76.7684186);(30.7460999,76.7692041);(30.746064,76.7694752)",14:27
Sector 35 Market - Point 25,76.766537355881,30.7238628890631,1109.41,A,3399.5742084233243,"(30.723681,76.7669116);(30.7241498,76.7676527);(30.7245786,76.7683306);(30.7250902,76.7691393);(30.7254313,76.7690734);(30.7256215,76.7689063);(30.7259177,76.7684229);(30.7259693,76.768101);(30.7262411,76.7678641);(30.7266307,76.7679823);(30.7267563,76.7682305);(30.726707,76.7686049);(30.7268332,76.7690605);(30.7270458,76.7694035);(30.7294952,76.7733693);(30.7296354,76.7735933);(30.7298891,76.7739987);(30.7299352,76.7740691);(30.7298548,76.7741406);(30.7296308,76.7743297);(30.7285198,76.7752677);(30.728325,76.7754268);(30.7257839,76.7778194);(30.7253551,76.7784737);(30.7244461,76.7792373);(30.7244259,76.7792543);(30.724419,76.7795187);(30.7272292,76.7840489);(30.7275971,76.7844887);(30.7278147,76.7845296);(30.7279518,76.7847428);(30.7279152,76.7850141);(30.7277828,76.785152);(30.7275399,76.7851475);(30.7272863,76.7852337);(30.7246502,76.7876609);(30.7255017,76.7883608);(30.7251674,76.7886398);(30.724728,76.7879258)",03:46
Rock Garden - Point 26,76.8061138086978,30.7536698879361,1326.97,B,4884.491459553382,"(30.7546828,76.8058588);(30.7523994,76.8035065);(30.7525052,76.8034168);(30.7532876,76.8027608);(30.7549141,76.8014114);(30.7558576,76.800634);(30.7558352,76.8004507);(30.7537271,76.7970649);(30.7536072,76.7970073);(30.7536071,76.7968234);(30.753397,76.7965133);(30.7505066,76.7919119);(30.7502614,76.7915208);(30.749892,76.7909316);(30.7497685,76.7907347);(30.7475811,76.7872129);(30.7466912,76.7861854);(30.7465261,76.786161);(30.7462063,76.7857524);(30.7462553,76.7853716);(30.746015,76.7847296);(30.7432014,76.7802209);(30.7429976,76.7798944);(30.7430744,76.7798302);(30.74563,76.7776949);(30.7434742,76.7731898);(30.7432818,76.7722529);(30.7435977,76.7719896);(30.7434708,76.7717956);(30.7431792,76.7715491);(30.7430898,76.7714273);(30.743113,76.7713585);(30.7432015,76.7713177);(30.7432294,76.7713264);(30.7455151,76.7693499);(30.7455537,76.7691112);(30.7457159,76.7689604);(30.7459919,76.7690143);(30.7460999,76.7692041);(30.746064,76.7694752)",18:26
Sector 35 Market - Point 27,76.7637713708575,30.7242334571472,369.5,B,3439.420306183364,"(30.7244987,76.7638365);(30.7248343,76.7635621);(30.7251504,76.7633037);(30.72558,76.7629525);(30.7269169,76.7637202);(30.7273993,76.7644986);(30.7277494,76.7642069);(30.7282637,76.7650262);(30.7285922,76.7647577);(30.7289399,76.7644734);(30.7295182,76.765432);(30.7319059,76.763501);(30.732009,76.7636508);(30.7322733,76.7634358);(30.7327169,76.7630245);(30.732755,76.7627857);(30.7329178,76.7626361);(30.733121,76.7626402);(30.7333104,76.7629333);(30.7332657,76.7631499);(30.7334179,76.7635497);(30.7359779,76.767687);(30.736237,76.7674722);(30.7365412,76.7672197);(30.7372846,76.7666799);(30.7377498,76.7667592);(30.7387898,76.7660814);(30.7389238,76.7659588);(30.7391258,76.7662804);(30.7392813,76.7665281);(30.7400566,76.7677627);(30.7403308,76.7681993);(30.7404749,76.7684287);(30.7405213,76.7685033);(30.7407741,76.7689051);(30.741072,76.7693455);(30.7429119,76.7708757);(30.7429397,76.7709362);(30.7432015,76.7713177);(30.7432294,76.7713264);(30.7455151,76.7693499);(30.7455537,76.7691112);(30.7457159,76.7689604);(30.7459919,76.7690143);(30.7460999,76.7692041);(30.746064,76.7694752)",10:03
