Location,Hub,OrderTime,WaitMinutes,TravelMinutes,TotalMinutes,VehicleUsed
Sector 7 Market - Point 75,A,09:08,0.0,3.47869445,3.47869445,A-1
Punjab University - Point 37,B,09:16,0.0,3.4571149,3.4571149,B-2
Punjab University - Point 60,B,09:56,0.0,3.4571149,3.4571149,A-2
Rose Garden - Point 49,B,09:58,0.0,4.723145066666667,4.723145066666667,B-1
39 Sector 39Chandigarh160036,C,09:59,0.0,4.48755175,4.48755175,C-1
Sector 35 Market - Point 27,B,10:03,0.0,5.791232066666667,5.791232066666667,D-2
Sector 22 Market - Point 7,B,10:04,0.0,4.659445566666666,4.659445566666666,B-2
Sector 22 Market - Point 55,B,10:42,0.0,3.258914083333333,3.258914083333333,A-2
Sector 7 Market - Point 33,A,10:46,0.0,4.923704316666667,4.923704316666667,C-2
Sector 17 Plaza - Point 91,B,10:49,0.0,2.2501637000000003,2.2501637000000003,B-1
Rock Garden - Point 19,A,10:59,0.0,8.572932216666667,8.572932216666667,A-1
Punjab University - Point 30,B,11:13,0.0,2.65534695,2.65534695,B-2
Punjab University - Point 22,B,11:47,0.0,2.246181083333333,2.246181083333333,D-2
Sector 22 Market - Point 70,B,11:58,0.0,3.5195007,3.5195007,A-2
Sector 7 Market - Point 40,A,13:04,0.0,3.0778367166666665,3.0778367166666665,B-1
Sector 7 Market - Point 9,A,13:12,0.0,3.7504062,3.7504062,C-2
Sector 17 Plaza - Point 20,A,13:25,0.0,3.0856017833333333,3.0856017833333333,A-1
Elante Mall - Point 68,A,13:41,0.0,5.909030733333334,5.909030733333334,B-2
Elante Mall - Point 31,A,13:59,0.0,6.1023311,6.1023311,B-1
Sector 7 Market - Point 18,A,14:01,0.0,4.266025333333333,4.266025333333333,C-2
Punjab University - Point 24,B,14:27,0.0,2.259444916666667,2.259444916666667,D-2
Elante Mall - Point 35,A,14:33,0.0,5.489420366666667,5.489420366666667,A-1
Sector 7 Market - Point 62,A,14:39,0.0,4.500507783333333,4.500507783333333,B-2
Elante Mall - Point 34,A,15:10,0.0,5.739466416666667,5.739466416666667,C-2
Sector 7 Market - Point 54,A,15:21,0.0,3.5690218333333332,3.5690218333333332,B-1
Rose Garden - Point 58,B,15:21,0.0,4.099974283333333,4.099974283333333,A-2
Sector 7 Market - Point 78,A,15:33,0.0,4.80482515,4.80482515,A-1
39D Sector 39 Chandigarh 160036,C,15:36,0.0,4.48755175,4.48755175,C-1
Sukhna Lake - Point 32,A,15:53,0.0,5.632707300000001,5.632707300000001,B-2
Sector 7 Market - Point 13,A,16:05,0.0,4.7361222,4.7361222,C-2
Rose Garden - Point 98,B,16:13,0.0,3.7056130666666665,3.7056130666666665,D-2
Rock Garden - Point 16,A,16:19,0.0,6.968642849999999,6.968642849999999,B-1
Punjab University - Point 100,B,16:25,0.0,2.65534695,2.65534695,A-2
Elante Mall - Point 1,A,16:25,0.0,5.909030733333334,5.909030733333334,A-1
Punjab University - Point 79,B,16:27,0.0,2.5641454666666665,2.5641454666666665,D-2
Sector 35 Market - Point 46,A,16:43,0.0,5.350490866666666,5.350490866666666,B-2
Sector 26 Food Court - Point 59,A,16:53,0.0,4.907478333333333,4.907478333333333,C-2
Sector 26 Food Court - Point 56,A,16:58,0.0,4.39259485,4.39259485,B-1
Sector 35 Market - Point 11,A,17:04,0.0,4.871094783333334,4.871094783333334,A-1
Sector 35 Market - Point 51,B,17:30,0.0,5.435105466666667,5.435105466666667,A-2
Elante Mall - Point 47,A,17:52,0.0,5.607759533333334,5.607759533333334,B-2
Sector 22 Market - Point 44,B,18:10,0.0,2.5602156333333337,2.5602156333333337,D-2
Sukhna Lake - Point 5,A,18:19,0.0,8.501588433333334,8.501588433333334,C-2
Sukhna Lake - Point 50,A,18:19,0.0,8.501588433333334,8.501588433333334,B-1
Sector 7 Market - Point 93,A,18:24,0.0,4.80482515,4.80482515,A-1
Rock Garden - Point 26,B,18:26,0.0,7.1544189,7.1544189,A-2
Ambedkar Awas YojnaSector 56 Chandigarh,C,18:31,0.0,3.7056533333333332,3.7056533333333332,C-1
Rock Garden - Point 21,A,18:54,0.0,5.872933216666667,5.872933216666667,B-2
Punjab University - Point 52,B,19:20,0.0,2.5146488333333332,2.5146488333333332,D-2
Sector 26 Food Court - Point 96,A,20:02,0.0,4.243382216666666,4.243382216666666,A-1
Sector 35 Market - Point 17,D,20:08,0.0,4.37297215,4.37297215,D-1
Sector 17 Plaza - Point 42,B,20:15,0.0,3.5627028666666667,3.5627028666666667,A-2
Rock Garden - Point 94,B,21:22,0.0,7.1544189,7.1544189,D-2
Sector 22 Market - Point 92,A,21:50,0.0,3.164261516666667,3.164261516666667,B-1
Sector 7 Market - Point 64,A,21:52,0.0,4.69716385,4.69716385,C-2
Sukhna Lake - Point 48,A,22:12,0.0,8.501588433333334,8.501588433333334,B-2
Sector 17 Plaza - Point 73,B,22:30,0.0,3.5627028666666667,3.5627028666666667,A-2
Elante Mall - Point 69,A,22:34,0.0,3.8328853499999997,3.8328853499999997,A-1
Location_1,D,22:41,0.0,3.7227907333333334,3.7227907333333334,D-1
Sector 35 Market - Point 29,D,22:41,0.0,5.150942466666667,5.150942466666667,D-2
Sector 22 Market - Point 97,A,23:05,0.0,3.6138471,3.6138471,B-1
Sukhna Lake - Point 67,A,23:15,0.0,6.627457683333334,6.627457683333334,B-2
Punjab University - Point 6,B,23:15,0.0,2.259444916666667,2.259444916666667,C-2
Punjab University - Point 74,B,23:18,0.0,2.05560635,2.05560635,A-2
Sector 55,C,23:22,0.0,3.3405224833333333,3.3405224833333333,C-1
Sector 35 Market - Point 84,D,23:25,0.0,4.37297215,4.37297215,D-1
Rose Garden - Point 87,B,23:37,0.0,3.8416849166666664,3.8416849166666664,D-2
