Location,NearestHub,Distance(meters),OrderTime,WaitTimeMinutes,DepartureTime,ArrivalTime,DeliveryCompleteTime,OrderDateTime,DeliveryCompleteDateTime,TotalDeliveryTimeMinutes
Sector 7 Market - Point 33,A,3282.469549277845,10:46,0.0,10:46:00,10:50:55,10:50:55,1900-01-01 10:46:00,1900-01-01 10:50:55,4.916666666666667
Rock Garden - Point 19,A,5715.288149911613,10:59,0.0,10:59:00,11:07:34,11:07:34,1900-01-01 10:59:00,1900-01-01 11:07:34,8.566666666666666
Sector 7 Market - Point 40,A,2051.8911463773347,13:04,0.0,13:04:00,13:07:04,13:07:04,1900-01-01 13:04:00,1900-01-01 13:07:04,3.066666666666667
Sector 7 Market - Point 9,A,2500.270797200636,13:12,0.0,13:12:00,13:15:45,13:15:45,1900-01-01 13:12:00,1900-01-01 13:15:45,3.75
Sector 17 Plaza - Point 20,A,2057.0678514472675,13:25,0.0,13:25:00,13:28:05,13:28:05,1900-01-01 13:25:00,1900-01-01 13:28:05,3.0833333333333335
Elante Mall - Point 68,A,3939.3538228132807,13:41,0.0,13:41:00,13:46:54,13:46:54,1900-01-01 13:41:00,1900-01-01 13:46:54,5.9
Elante Mall - Point 31,A,4068.2207339011097,13:59,0.0,13:59:00,14:05:06,14:05:06,1900-01-01 13:59:00,1900-01-01 14:05:06,6.1
Sector 7 Market - Point 18,A,2844.0168921855816,14:01,10.2,14:11:12,14:15:28,14:15:28,1900-01-01 14:01:00,1900-01-01 14:15:28,14.466666666666667
Elante Mall - Point 35,A,3659.613581050007,14:33,0.0,14:33:00,14:38:29,14:38:29,1900-01-01 14:33:00,1900-01-01 14:38:29,5.483333333333333
Sector 7 Market - Point 62,A,3000.3385250622123,14:39,4.98,14:43:58,14:48:28,14:48:28,1900-01-01 14:39:00,1900-01-01 14:48:28,9.466666666666667
Elante Mall - Point 34,A,3826.310948997451,15:10,0.0,15:10:00,15:15:44,15:15:44,1900-01-01 15:10:00,1900-01-01 15:15:44,5.733333333333333
Sector 7 Market - Point 54,A,2379.3478911243647,15:21,0.48,15:21:28,15:25:02,15:25:02,1900-01-01 15:21:00,1900-01-01 15:25:02,4.033333333333333
Sector 7 Market - Point 78,A,3203.2167625371508,15:33,0.0,15:33:00,15:37:48,15:37:48,1900-01-01 15:33:00,1900-01-01 15:37:48,4.8
Sukhna Lake - Point 32,A,3755.1382052102863,15:53,0.0,15:53:00,15:58:37,15:58:37,1900-01-01 15:53:00,1900-01-01 15:58:37,5.616666666666666
Sector 7 Market - Point 13,A,3157.414802316293,16:05,0.0,16:05:00,16:09:44,16:09:44,1900-01-01 16:05:00,1900-01-01 16:09:44,4.733333333333333
Rock Garden - Point 16,A,4645.7619051858455,16:19,0.0,16:19:00,16:25:58,16:25:58,1900-01-01 16:19:00,1900-01-01 16:25:58,6.966666666666667
Elante Mall - Point 1,A,3939.3538228132807,16:25,7.94,16:32:56,16:38:50,16:38:50,1900-01-01 16:25:00,1900-01-01 16:38:50,13.833333333333334
Sector 35 Market - Point 46,A,3566.9939149122392,16:43,1.76,16:44:45,16:50:06,16:50:06,1900-01-01 16:43:00,1900-01-01 16:50:06,7.1
Sector 26 Food Court - Point 59,A,3271.652219174037,16:53,2.46,16:55:27,17:00:21,17:00:21,1900-01-01 16:53:00,1900-01-01 17:00:21,7.35
Sector 26 Food Court - Point 56,A,2928.396570042338,16:58,7.27,17:05:16,17:09:39,17:09:39,1900-01-01 16:58:00,1900-01-01 17:09:39,11.65
Sector 35 Market - Point 11,A,3247.3965235781056,17:04,10.06,17:14:03,17:18:55,17:18:55,1900-01-01 17:04:00,1900-01-01 17:18:55,14.916666666666666
Elante Mall - Point 47,A,3738.5063597131593,17:52,0.0,17:52:00,17:57:36,17:57:36,1900-01-01 17:52:00,1900-01-01 17:57:36,5.6
Sukhna Lake - Point 50,A,5667.725619036306,18:19,0.0,18:19:00,18:27:30,18:27:30,1900-01-01 18:19:00,1900-01-01 18:27:30,8.5
Sukhna Lake - Point 5,A,5667.725619036306,18:19,17.0,18:36:00,18:44:30,18:44:30,1900-01-01 18:19:00,1900-01-01 18:44:30,25.5
Sector 7 Market - Point 93,A,3203.2167625371508,18:24,29.01,18:53:00,18:57:48,18:57:48,1900-01-01 18:24:00,1900-01-01 18:57:48,33.8
Rock Garden - Point 21,A,3915.288812220772,18:54,8.62,19:02:36,19:08:29,19:08:29,1900-01-01 18:54:00,1900-01-01 19:08:29,14.483333333333333
Sector 26 Food Court - Point 96,A,2828.9214802697406,20:02,0.0,20:02:00,20:06:14,20:06:14,1900-01-01 20:02:00,1900-01-01 20:06:14,4.233333333333333
Sector 22 Market - Point 92,A,2109.507673046551,21:50,0.0,21:50:00,21:53:09,21:53:09,1900-01-01 21:50:00,1900-01-01 21:53:09,3.15
Sector 7 Market - Point 64,A,3131.442565162508,21:52,4.33,21:56:19,22:01:01,22:01:01,1900-01-01 21:52:00,1900-01-01 22:01:01,9.016666666666667
Sukhna Lake - Point 48,A,5667.725619036306,22:12,0.0,22:12:00,22:20:30,22:20:30,1900-01-01 22:12:00,1900-01-01 22:20:30,8.5
Elante Mall - Point 69,A,2555.256901020761,22:34,0.0,22:34:00,22:37:49,22:37:49,1900-01-01 22:34:00,1900-01-01 22:37:49,3.816666666666667
Sector 22 Market - Point 97,A,2409.2313979623145,23:05,0.0,23:05:00,23:08:36,23:08:36,1900-01-01 23:05:00,1900-01-01 23:08:36,3.6
Sukhna Lake - Point 67,A,4418.305119910176,23:15,0.0,23:15:00,23:21:37,23:21:37,1900-01-01 23:15:00,1900-01-01 23:21:37,6.616666666666666
Rose Garden - Point 99,B,2330.436742064265,00:09,0.0,00:09:00,00:12:29,00:12:29,1900-01-01 00:09:00,1900-01-01 00:12:29,3.4833333333333334
Rose Garden - Point 45,B,1917.9889875105769,01:17,0.0,01:17:00,01:19:52,01:19:52,1900-01-01 01:17:00,1900-01-01 01:19:52,2.8666666666666667
Location_2,B,3167.3210687629025,01:34,0.0,01:34:00,01:38:45,01:38:45,1900-01-01 01:34:00,1900-01-01 01:38:45,4.75
Sector 22 Market - Point 38,B,2172.6093840139797,01:38,5.5,01:43:30,01:46:45,01:46:45,1900-01-01 01:38:00,1900-01-01 01:46:45,8.75
Sector 17 Plaza - Point 63,B,1963.8244238602983,01:53,0.0,01:53:00,01:55:56,01:55:56,1900-01-01 01:53:00,1900-01-01 01:55:56,2.933333333333333
Sector 17 Plaza - Point 89,B,2056.877587961083,02:28,0.0,02:28:00,02:31:05,02:31:05,1900-01-01 02:28:00,1900-01-01 02:31:05,3.0833333333333335
Punjab University - Point 85,B,2304.7432611478143,02:28,6.17,02:34:10,02:37:37,02:37:37,1900-01-01 02:28:00,1900-01-01 02:37:37,9.616666666666667
Punjab University - Point 83,B,2727.8082107749237,02:36,5.08,02:41:05,02:45:10,02:45:10,1900-01-01 02:36:00,1900-01-01 02:45:10,9.166666666666666
Sector 22 Market - Point 2,B,2346.333799648446,03:01,0.0,03:01:00,03:04:31,03:04:31,1900-01-01 03:01:00,1900-01-01 03:04:31,3.5166666666666666
Location_3,B,3189.071200429508,03:45,0.0,03:45:00,03:49:47,03:49:47,1900-01-01 03:45:00,1900-01-01 03:49:47,4.783333333333333
Sector 35 Market - Point 25,B,3456.204427221819,03:46,8.57,03:54:34,03:59:45,03:59:45,1900-01-01 03:46:00,1900-01-01 03:59:45,13.75
Punjab University - Point 10,B,2431.214332610256,03:51,13.94,04:04:56,04:08:34,04:08:34,1900-01-01 03:51:00,1900-01-01 04:08:34,17.566666666666666
Sector 22 Market - Point 57,B,2117.122817475844,04:51,0.0,04:51:00,04:54:10,04:54:10,1900-01-01 04:51:00,1900-01-01 04:54:10,3.1666666666666665
Sector 17 Plaza - Point 8,B,1706.8104249827445,05:19,0.0,05:19:00,05:21:33,05:21:33,1900-01-01 05:19:00,1900-01-01 05:21:33,2.55
Sector 17 Plaza - Point 88,B,2139.207388721014,05:44,0.0,05:44:00,05:47:12,05:47:12,1900-01-01 05:44:00,1900-01-01 05:47:12,3.2
Sector 17 Plaza - Point 12,B,2346.333799648446,06:08,0.0,06:08:00,06:11:31,06:11:31,1900-01-01 06:08:00,1900-01-01 06:11:31,3.5166666666666666
Rock Garden - Point 86,B,4769.61260517692,06:13,2.04,06:15:02,06:22:11,06:22:11,1900-01-01 06:13:00,1900-01-01 06:22:11,9.183333333333334
Rose Garden - Point 80,B,2472.9927780363328,06:17,12.35,06:29:20,06:33:03,06:33:03,1900-01-01 06:17:00,1900-01-01 06:33:03,16.05
Punjab University - Point 28,B,1709.43030624001,06:37,0.0,06:37:00,06:39:33,06:39:33,1900-01-01 06:37:00,1900-01-01 06:39:33,2.55
Sector 17 Plaza - Point 71,B,2158.6492847056875,07:43,0.0,07:43:00,07:46:14,07:46:14,1900-01-01 07:43:00,1900-01-01 07:46:14,3.2333333333333334
Rose Garden - Point 15,B,2888.7337345674646,08:34,0.0,08:34:00,08:38:19,08:38:19,1900-01-01 08:34:00,1900-01-01 08:38:19,4.316666666666666
Punjab University - Point 37,B,2304.7432611478143,09:16,0.0,09:16:00,09:19:27,09:19:27,1900-01-01 09:16:00,1900-01-01 09:19:27,3.45
Punjab University - Point 60,B,2304.7432611478143,09:56,0.0,09:56:00,09:59:27,09:59:27,1900-01-01 09:56:00,1900-01-01 09:59:27,3.45
Rose Garden - Point 49,B,3148.7633799670566,09:58,4.91,10:02:54,10:07:38,10:07:38,1900-01-01 09:58:00,1900-01-01 10:07:38,9.633333333333333
Sector 35 Market - Point 27,B,3860.821372359273,10:03,9.36,10:12:21,10:18:09,10:18:09,1900-01-01 10:03:00,1900-01-01 10:18:09,15.15
Sector 22 Market - Point 7,B,3106.2970459160274,10:04,19.94,10:23:56,10:28:36,10:28:36,1900-01-01 10:04:00,1900-01-01 10:28:36,24.6
Sector 22 Market - Point 55,B,2172.6093840139797,10:42,0.0,10:42:00,10:45:15,10:45:15,1900-01-01 10:42:00,1900-01-01 10:45:15,3.25
Sector 17 Plaza - Point 91,B,1500.1091357502885,10:49,0.0,10:49:00,10:51:15,10:51:15,1900-01-01 10:49:00,1900-01-01 10:51:15,2.25
Punjab University - Point 30,B,1770.231303405171,11:13,0.0,11:13:00,11:15:39,11:15:39,1900-01-01 11:13:00,1900-01-01 11:15:39,2.65
Punjab University - Point 22,B,1497.4540599795644,11:47,0.0,11:47:00,11:49:14,11:49:14,1900-01-01 11:47:00,1900-01-01 11:49:14,2.2333333333333334
Sector 22 Market - Point 70,B,2346.333799648446,11:58,0.0,11:58:00,12:01:31,12:01:31,1900-01-01 11:58:00,1900-01-01 12:01:31,3.5166666666666666
Punjab University - Point 24,B,1506.2966079901898,14:27,0.0,14:27:00,14:29:15,14:29:15,1900-01-01 14:27:00,1900-01-01 14:29:15,2.25
Rose Garden - Point 58,B,2733.3161909255828,15:21,0.0,15:21:00,15:25:05,15:25:05,1900-01-01 15:21:00,1900-01-01 15:25:05,4.083333333333333
Rose Garden - Point 98,B,2470.4087075634943,16:13,0.0,16:13:00,16:16:42,16:16:42,1900-01-01 16:13:00,1900-01-01 16:16:42,3.7
Punjab University - Point 100,B,1770.231303405171,16:25,0.0,16:25:00,16:27:39,16:27:39,1900-01-01 16:25:00,1900-01-01 16:27:39,2.65
Punjab University - Point 79,B,1709.43030624001,16:27,3.31,16:30:18,16:32:52,16:32:52,1900-01-01 16:27:00,1900-01-01 16:32:52,5.866666666666666
Sector 35 Market - Point 51,B,3623.403648736932,17:30,0.0,17:30:00,17:35:26,17:35:26,1900-01-01 17:30:00,1900-01-01 17:35:26,5.433333333333334
Sector 22 Market - Point 44,B,1706.8104249827445,18:10,0.0,18:10:00,18:12:33,18:12:33,1900-01-01 18:10:00,1900-01-01 18:12:33,2.55
Rock Garden - Point 26,B,4769.61260517692,18:26,0.0,18:26:00,18:33:09,18:33:09,1900-01-01 18:26:00,1900-01-01 18:33:09,7.15
Punjab University - Point 52,B,1676.4325522599495,19:20,0.0,19:20:00,19:22:30,19:22:30,1900-01-01 19:20:00,1900-01-01 19:22:30,2.5
Sector 17 Plaza - Point 42,B,2375.1352448394723,20:15,0.0,20:15:00,20:18:33,20:18:33,1900-01-01 20:15:00,1900-01-01 20:18:33,3.55
Rock Garden - Point 94,B,4769.61260517692,21:22,0.0,21:22:00,21:29:09,21:29:09,1900-01-01 21:22:00,1900-01-01 21:29:09,7.15
Sector 17 Plaza - Point 73,B,2375.1352448394723,22:30,0.0,22:30:00,22:33:33,22:33:33,1900-01-01 22:30:00,1900-01-01 22:33:33,3.55
Punjab University - Point 6,B,1506.2966079901898,23:15,0.0,23:15:00,23:17:15,23:17:15,1900-01-01 23:15:00,1900-01-01 23:17:15,2.25
Punjab University - Point 74,B,1370.4042323689862,23:18,1.52,23:19:31,23:21:34,23:21:34,1900-01-01 23:18:00,1900-01-01 23:21:34,3.566666666666667
Rose Garden - Point 87,B,2561.1232785145667,23:37,0.0,23:37:00,23:40:50,23:40:50,1900-01-01 23:37:00,1900-01-01 23:40:50,3.8333333333333335
Ambedkar Awas Yojna Sector 56 Chandigarh,C,2470.4355599383107,01:25,0.0,01:25:00,01:28:42,01:28:42,1900-01-01 01:25:00,1900-01-01 01:28:42,3.7
Sector 40B Chandigarh 160036,C,2711.998204225605,02:07,0.0,02:07:00,02:11:04,02:11:04,1900-01-01 02:07:00,1900-01-01 02:11:04,4.066666666666666
39 Sector 39Chandigarh160036,C,2991.701169089894,09:59,0.0,09:59:00,10:03:29,10:03:29,1900-01-01 09:59:00,1900-01-01 10:03:29,4.483333333333333
39D Sector 39 Chandigarh 160036,C,2991.701169089894,15:36,0.0,15:36:00,15:40:29,15:40:29,1900-01-01 15:36:00,1900-01-01 15:40:29,4.483333333333333
Ambedkar Awas YojnaSector 56 Chandigarh,C,2470.4355599383107,18:31,0.0,18:31:00,18:34:42,18:34:42,1900-01-01 18:31:00,1900-01-01 18:34:42,3.7
Sector 55,C,2227.014986474426,23:22,0.0,23:22:00,23:25:20,23:25:20,1900-01-01 23:22:00,1900-01-01 23:25:20,3.3333333333333335
Sector 35 Market - Point 39,D,3323.8221197318358,01:22,0.0,01:22:00,01:26:59,01:26:59,1900-01-01 01:22:00,1900-01-01 01:26:59,4.983333333333333
Location_4,D,2804.990632317724,01:30,1.97,01:31:58,01:36:10,01:36:10,1900-01-01 01:30:00,1900-01-01 01:36:10,6.166666666666667
Sector 35 Market - Point 65,D,3529.816685054766,01:39,1.39,01:40:23,01:45:40,01:45:40,1900-01-01 01:39:00,1900-01-01 01:45:40,6.666666666666667
Sector 35 Market - Point 66,D,3497.500456765399,08:41,0.0,08:41:00,08:46:14,08:46:14,1900-01-01 08:41:00,1900-01-01 08:46:14,5.233333333333333
Sector 35 Market - Point 17,D,2915.314765314409,20:08,0.0,20:08:00,20:12:22,20:12:22,1900-01-01 20:08:00,1900-01-01 20:12:22,4.366666666666666
Sector 35 Market - Point 29,D,3433.961640287961,22:41,0.0,22:41:00,22:46:09,22:46:09,1900-01-01 22:41:00,1900-01-01 22:46:09,5.15
Location_1,D,2481.8604903434707,22:41,10.3,22:51:18,22:55:01,22:55:01,1900-01-01 22:41:00,1900-01-01 22:55:01,14.016666666666667
Sector 35 Market - Point 84,D,2915.314765314409,23:25,0.0,23:25:00,23:29:22,23:29:22,1900-01-01 23:25:00,1900-01-01 23:29:22,4.366666666666666
